n_id	n_ability_id	s_awake_ids	n_max_awake	s_coin_nums	s_item_nums	s_awake_effect	s_item_cost	s_awake_tips
序号	能力id	觉醒能力	最大觉醒等级	金币消耗数量	物品消耗数量	觉醒角色身体特效	道具1名称#数量,道具2名称#数量;道具1名称#数量,道具2名称#数量	能力多语言#能力多语言1
1	601	16011#16012#16013#16014	4	0#0#0#0	0#0#0#0	g2069_waiguanFX#lufei	awaken_yu#20;awaken_yu#100;awaken_yu#500;awaken_yu#2000	g2069_awakening_earnings_tips1#g2069_awakening_earnings_tips2#g2069_awakening_earnings_tips3#g2069_awakening_earnings_tips4
2	602	16021#16022#16023#16024	4	0#0#0#0	0#0#0#0	g2069_waiguanFX#suolong	awaken_yu#50;awaken_yu#300;awaken_yu#1000;awaken_yu#3000	g2069_awakening_earnings_tips1#g2069_awakening_earnings_tips2#g2069_awakening_earnings_tips3#g2069_awakening_earnings_tips4
3	603	16031#16032#16033#16034	4	0#0#0#0	0#0#0#0	g2069_waiguanFX#mingren	awaken_yu#20;awaken_yu#100;awaken_yu#500;awaken_yu#2000	g2069_awakening_earnings_tips1#g2069_awakening_earnings_tips2#g2069_awakening_earnings_tips3#g2069_awakening_earnings_tips4
4	604	16041#16042#16043#16044	4	0#0#0#0	0#0#0#0	g2069_waiguanFX#zuozhu	awaken_yu#50;awaken_yu#300;awaken_yu#1000;awaken_yu#3000	g2069_awakening_earnings_tips1#g2069_awakening_earnings_tips2#g2069_awakening_earnings_tips3#g2069_awakening_earnings_tips4
5	605	16051#16052#16053#16054	4	0#0#0#0	0#0#0#0		awaken_yu#300;awaken_yu#1000;awaken_yu#5000;awaken_yu#8000	g2069_awakening_earnings_tips1#g2069_awakening_earnings_tips2#g2069_awakening_earnings_tips3#g2069_awakening_earnings_tips4
6	606	16061#16062#16063#16064	4	0#0#0#0	0#0#0#0		awaken_yu#350;awaken_yu#1200;awaken_yu#6000;awaken_yu#8500	g2069_awakening_earnings_tips1#g2069_awakening_earnings_tips2#g2069_awakening_earnings_tips3#g2069_awakening_earnings_tips4
7	607	16071#16072#16073#16074	4	0#0#0#0	0#0#0#0		awaken_yu#350;awaken_yu#1200;awaken_yu#6000;awaken_yu#8500	g2069_awakening_earnings_tips1#g2069_awakening_earnings_tips2#g2069_awakening_earnings_tips3#g2069_awakening_earnings_tips4
8	608	16081#16082#16083#16084	4	0#0#0#0	0#0#0#0		awaken_yu#300;awaken_yu#1000;awaken_yu#5000;awaken_yu#8000	g2069_awakening_earnings_tips1#g2069_awakening_earnings_tips2#g2069_awakening_earnings_tips3#g2069_awakening_earnings_tips4
9	609	16091#16092#16093#16094	4	0#0#0#0	0#0#0#0		awaken_yu#500;awaken_yu#2000;awaken_yu#8000;awaken_yu#10000	g2069_awakening_earnings_tips1#g2069_awakening_earnings_tips2#g2069_awakening_earnings_tips3#g2069_awakening_earnings_tips4
10	610	16101#16102#16103#16104	4	0#0#0#0	0#0#0#0		awaken_yu#500;awaken_yu#2000;awaken_yu#8000;awaken_yu#10000	g2069_awakening_earnings_tips1#g2069_awakening_earnings_tips2#g2069_awakening_earnings_tips3#g2069_awakening_earnings_tips4
